shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled,area,color
[@2.0.86175868@]19,40.114864,-88.18194,297,"880.5662640785021",4,#F8F8F2
[@2.0.86175868@]19,40.114856,-88.181915,298,"882.8670372660772",4,#F8F8F2
[@2.0.86175868@]19,40.114848,-88.181891,299,"885.0922241394364",4,#F8F8F2
[@2.0.86175868@]19,40.114841,-88.181867,300,"887.2765784269366",4,#F8F8F2
[@2.0.86175868@]19,40.114833,-88.181842,301,"889.5812611724506",4,#F8F8F2
[@2.0.86175868@]19,40.114825,-88.181818,302,"891.8064480458098",4,#F8F8F2
[@2.0.86175868@]19,40.114818,-88.181798,303,"893.6754123526297",4,#F8F8F2
[@2.0.86175868@]19,40.114811,-88.181777,304,"895.6245448842578",4,#F8F8F2
[@2.0.86175868@]19,40.114805,-88.181756,305,"897.529293504471",4,#F8F8F2
[@2.0.86175868@]19,40.114798,-88.181735,306,"899.4761152676143",4,#F8F8F2
[@2.0.86175868@]19,40.114791,-88.181715,307,"901.3426695614306",4,#F8F8F2
[@2.0.86175868@]19,40.114784,-88.181694,308,"903.287177810075",4,#F8F8F2
[@2.0.86175868@]19,40.114778,-88.181674,309,"905.1122750428059",4,#F8F8F2
[@2.0.86175868@]19,40.114771,-88.181653,310,"907.0590968059493",4,#F8F8F2
[@2.0.86175868@]19,40.114765,-88.181632,311,"908.9662071736539",4,#F8F8F2
